time,value
1732464073363166228,1
1732464074363903635,1
1732464075364915254,1
1732464076364667341,1
1732464077363135992,1
1732464078366164788,1
1732464079365234211,1
1732464080364980365,1
1732464081364490618,1
1732464082454827280,1
1732464083364581791,1
1732464084363815508,1
1732464085366843640,1
1732464086364871766,1
1732464087375849396,1
1732464088367618947,1
1732464089367755652,1
1732464090368479654,1
1732464091370106592,1
1732464092366955658,1
1732464093368603906,1
1732464094367948933,1
1732464095416027385,1
1732464096429928524,1
1732464097367777372,1
1732464098368340324,1
1732464099371085340,1
1732464100368390908,1
1732464101417125666,1
1732464102367357599,1
1732464103369116523,1
1732464104368380559,1
1732464105368213166,1
1732464106368502847,1
1732464107358716392,1
1732464108369345300,1
1732464109368920537,1
1732464110368330185,1
1732464111368297975,1
1732464112373819435,1
1732464113375702381,1
1732464114368906641,1
1732464115368996450,1
1732464116369552508,1
1732464117378406101,1
1732464118367893069,1
1732464119368170977,1
1732464120368015321,1
1732464121369500043,1
1732464122369937971,1
1732464123369265886,1
1732464124367943196,1
1732464125368286738,1
1732464126367806400,1
1732464127368319037,1
1732464128369770738,1
1732464129375829673,1
1732464130371666959,1
1732464131366137255,1
1732464132367591850,1
1732464133373883228,1
1732464134367143132,1
1732464135368901225,1
1732464136366975679,1
1732464137370458213,1
1732464138369210923,1
1732464139368714005,1
1732464140366761588,1
1732464141368413973,1
1732464142408141300,1
1732464143368882669,1
1732464144369633519,1
1732464145369720562,1
1732464146378033535,1
1732464147377636693,1
1732464148369633807,1
1732464149369470563,1
1732464150371902905,1
1732464151369743313,1
1732464152369481422,1
1732464153368261023,1
1732464154368987140,1
1732464155368724711,1
1732464156366980292,1
1732464157373258486,1
1732464158360856788,1
1732464159368797658,1
1732464160368811543,1
1732464161366659884,1
1732464162369280165,1
1732464163373945316,1
1732464164369389718,1
1732464165373205614,1
1732464166367446178,1
1732464167372129984,1
1732464168368295474,1
1732464169368814923,1
1732464170369277265,1
1732464171368807087,1
1732464172367453028,1
1732464173369635583,1
1732464174367374741,1
1732464175376365289,1
1732464176376272946,1
1732464177391356263,1
1732464178367809583,1
1732464179368577647,1
1732464180370148329,1
1732464181367498562,1
1732464182368781837,1
1732464183369463029,1
1732464184368115443,1
1732464185373501029,1
1732464186371415034,1
1732464187366968099,1
1732464188370351468,1
1732464189368974025,1
1732464190375816802,1
1732464191367739319,1
1732464192376909253,1
1732464193374512867,1
1732464194368126162,1
1732464195369120047,1
1732464196367503999,1
1732464197375508193,1
1732464198369210625,1
1732464199481526220,1
1732464200368669964,1
1732464201367547546,1
1732464202368900593,1
1732464203367552345,1
1732464204369590339,1
1732464205368179785,1
1732464206367893739,1
1732464207383338561,1
1732464208372014123,1
1732464209370706842,1
1732464210373500639,1
1732464211374840210,1
1732464212391581372,1
1732464213371765187,1
1732464214371444108,1
1732464215371115293,1
1732464216371138376,1
1732464217370312623,1
1732464218466889669,1
1732464219369242815,1
1732464220370417026,1
1732464221371841646,1
1732464222369972044,1
1732464223369868721,1
1732464224374822723,1
1732464225372188513,1
1732464226371030890,1
1732464227371038114,1
1732464228375498683,1
1732464229373519317,1
1732464230369692861,1
1732464231371274653,1
1732464232371762483,1
1732464233375123259,1
1732464234370809533,1
1732464235371093832,1
1732464236371475485,1
1732464237379553620,1
1732464238373717912,1
1732464239373221274,1
1732464240490810635,1
1732464241373324805,1
1732464242374192304,1
1732464243372864484,1
1732464244375561210,1
1732464245374566491,1
1732464247856027498,1
1732464247916505002,1
1732464248916318673,1
1732464250007763915,1
1732464250924139266,1
1732464251917813332,1
1732464252916669856,1
1732464253915903254,1
1732464254921337401,1
1732464255915551786,1
1732464256916031913,1
1732464257916993287,1
1732464258916336120,1
1732464259916071585,1
1732464260916057840,1
1732464261915813754,1
1732464262918495631,1
1732464263916270004,1
1732464264916597096,1
1732464265916979419,1
1732464266926930151,1
1732464267922662793,1
1732464268920456372,1
1732464269920468072,1
1732464270919738570,1
1732464272029438538,1
1732464272920549481,1
1732464273920501993,1
1732464274921828861,1
1732464275919783140,1
1732464276919342666,1
1732464277919782146,1
1732464278920689260,1
1732464279919399113,1
1732464280927852056,1
1732464281918237213,1
1732464282920140567,1
1732464283918120394,1
1732464284925142336,1
1732464285919440321,1
1732464286919720441,1
1732464287919726533,1
1732464288920010664,1
1732464289917808874,1
1732464291020447117,1
1732464291919243443,1
1732464292920130961,1
1732464293934734259,1
1732464294919373584,1
1732464295920122291,1
1732464296927685224,1
1732464297929758716,1
1732464298920884854,1
1732464299920227347,1
1732464300922155978,1
1732464301919866382,1
1732464302924226555,1
1732464303918944630,1
1732464304920879434,1
1732464305919771486,1
1732464306922954839,1
1732464307920620291,1
1732464308920109086,1
1732464309944259725,1
1732464310920451016,1
1732464311920250693,1
1732464312920031222,1
1732464313919629871,1
1732464314932619277,1
1732464315921409513,1
1732464316920961074,1
1732464317920435871,1
1732464318922020533,1
1732464319921686560,1
1732464320921100636,1
1732464321923320081,1
1732464322920200386,1
1732464323920981143,1
1732464324920974712,1
1732464325920091610,1
1732464326928806304,1
1732464327931220424,1
1732464328922431183,1
1732464329920224862,1
1732464330932909019,1
1732464332017255093,1
1732464332920833057,1
1732464333924855066,1
1732464334920014397,1
1732464335920998013,1
1732464336920388923,1
1732464337920660313,1
1732464338921173171,1
1732464339920848444,1
1732464340920353028,1
1732464341919816053,1
1732464342920662204,1
1732464343921035902,1
1732464344930562182,1
1732464345920412598,1
1732464346920958328,1
1732464347924063907,1
1732464348925586638,1
1732464349919940364,1
1732464350963244838,1
1732464351921634818,1
1732464352921270918,1
1732464353921021493,1
1732464354919795994,1
1732464355921348131,1
1732464356930550153,1
1732464357935599074,1
1732464358922883850,1
1732464359921834921,1
1732464360921436508,1
1732464361927783380,1
1732464362923686399,1
1732464364223461129,1
1732464364922724171,1
1732464365923425088,1
1732464366922778281,1
1732464367922437645,1
1732464368922037487,1
1732464369921825371,1
1732464370937812455,1
1732464371923644038,1
1732464373045054845,1
1732464373922088723,1
1732464374932601433,1
1732464375921683565,1
1732464376922989573,1
1732464377922677389,1
1732464378924468372,1
1732464379922830264,1
1732464380922884783,1
1732464381923042602,1
1732464382922886269,1
1732464383922337344,1
1732464384922874266,1
1732464385924729159,1
1732464386935687061,1
1732464387937074181,1
1732464388928535126,1
1732464389928544344,1
1732464390928873800,1
1732464391955415875,1
1732464392929542589,1
1732464393928609637,1
1732464394928987804,1
1732464395929002673,1
1732464396928007694,1
1732464397927762597,1
1732464398929464335,1
1732464399928994979,1
1732464400928132959,1
1732464401928323835,1
1732464402928360282,1
1732464403932113560,1
1732464404935404485,1
1732464405929180732,1
1732464406927902486,1
1732464407929537229,1
1732464408928580622,1
1732464409991197650,1
1732464410949543267,1
1732464411929873746,1
1732464412929536266,1
1732464413928567646,1
1732464414929282904,1
1732464415928763334,1
1732464416964201599,1
1732464417938635648,1
1732464418929080113,1
1732464419929217829,1
1732464420928585058,1
1732464421934023664,1
1732464422929451626,1
1732464423928872905,1
1732464424928670117,1
1732464425929603199,1
1732464426930543585,1
1732464427928742572,1
1732464428928846376,1
1732464429929317095,1
1732464430928427032,1
1732464431931686780,1
1732464432969870182,1
1732464433928365167,1
1732464434937187762,1
1732464435935894917,1
1732464436928354286,1
1732464437927763192,1
1732464438931603233,1
1732464439928375509,1
1732464440928264821,1
1732464441927237533,1
1732464442928137995,1
1732464443928623940,1
1732464444929325792,1
1732464445929359825,1
1732464446940440958,1
1732464447935367834,1
1732464448932950711,1
1732464449933450241,1
1732464450932904511,1
1732464451938817153,1
1732464452933193872,1
1732464453932735466,1
1732464454933678648,1
1732464455933104967,1
1732464456934235117,1
1732464457932840053,1
1732464458933220443,1
1732464459932967590,1
1732464460933451914,1
1732464461934321127,1
1732464462933884259,1
1732464463933216021,1
1732464464944353319,1
1732464465933327230,1
1732464466932662419,1
1732464468025614154,1
1732464468937018504,1
1732464469935267905,1
1732464470933292927,1
1732464471932313619,1
1732464472933529499,1
1732464473933479876,1
1732464474938880392,1
1732464475933156222,1
1732464476947332763,1
1732464477945650461,1
1732464478938641644,1
1732464479938674164,1
1732464480938172367,1
1732464481943271319,1
1732464482938691577,1
1732464483941973914,1
1732464484939224060,1
1732464485938678471,1
1732464486939478243,1
1732464487938791761,1
1732464488938617757,1
1732464489930094399,1
1732464490938582811,1
1732464491938159531,1
1732464492938846485,1
1732464493939159841,1
1732464494946267543,1
1732464495939485069,1
1732464496939281698,1
1732464497939345757,1
1732464498939755621,1
1732464499936484935,1
1732464500940581774,1
1732464501939188294,1
1732464502939517318,1
1732464503938329579,1
1732464504939692041,1
1732464505939225029,1
1732464506951066882,1
1732464507950120877,1
1732464509007528799,1
1732464509946949656,1
1732464510943272250,1
1732464511943617396,1
1732464512948364190,1
1732464513945810541,1
1732464514942234163,1
1732464515944324917,1
1732464516943092495,1
1732464517942740230,1
1732464518956069078,1
1732464519942629681,1
1732464520954164160,1
1732464521942806430,1
1732464522952430014,1
1732464523941892937,1
1732464524949246558,1
1732464525944908016,1
1732464526942961672,1
1732464527942887112,1
1732464528943442429,1
1732464529945393011,1
1732464530944456111,1
1732464531943551648,1
1732464532943022482,1
1732464533943464246,1
1732464534943732327,1
1732464535942783534,1
1732464536954104004,1
1732464537945786252,1
1732464538946453338,1
1732464539945449663,1
1732464540946405848,1
1732464541947696768,1
1732464542945985733,1
1732464543951407157,1
1732464544946707729,1
1732464546018621639,1
1732464546946183530,1
1732464547945716908,1
1732464548948712381,1
1732464550027148590,1
1732464550950363914,1
1732464551945795644,1
1732464552946312778,1
1732464553947687607,1
1732464554952508401,1
1732464555948746105,1
1732464556947770825,1
1732464557947442952,1
